BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2804:14d:baa2::/48|6720 8447 6939 4230 28573|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2620:0:2f0::/48|6720 8447 3257 174 32629|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2620:0:2f0::/48|6720 8447 3257 174 32629|IGP
BGP4MP|01/01/17 12:00:08|W|2001:7f8:30:0:1:1:0:6720|6720|2a00:86c0:98::/48
BGP4MP|01/01/17 12:00:08|W|2001:7f8:30:0:1:1:0:6720|6720|2a00:86c0:99::/48
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2a00:ad87:4600::/48|6720 1853 3356 1299 7473 3758 9911 9890|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2a00:ad87:4600::/48|6720 1853 3356 1299 7473 3758 9911 9890|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2a06:dd80::/29|6720 1853 3356 5511 31216 203544|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2a06:dd80::/29|6720 1853 3356 5511 31216 203544|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2001:df0:ba::/48|6720 1853 20965 24490 18007 46019|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2001:df0:ba::/48|6720 1853 20965 24490 18007 46019|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2001:e00::/32|6720 1853 6939 7473 4761 4795|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2001:e00::/32|6720 1853 6939 7473 4761 4795|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2402:ab00:140::/48|6720 1853 6939 7473 4761 24206 24206 24206 24206|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2402:ab00:140::/48|6720 1853 6939 7473 4761 24206 24206 24206 24206|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2403:8000::/32|6720 1853 20965 24490 18007 4796|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2403:8000::/32|6720 1853 20965 24490 18007 4796|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2404:6d00::/32|6720 1853 6939 7473 4761 45294|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2404:6d00::/32|6720 1853 6939 7473 4761 45294|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2407::/32|6720 1853 6939 7473 4761|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2407::/32|6720 1853 6939 7473 4761|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2403:af00::/32|6720 1853 6939 7473 4761 38772|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2403:af00::/32|6720 1853 6939 7473 4761 38772|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2607:faf8:4::/48|6720 1853 3356 2914 7029|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:1:1:0:6720|6720|2607:faf8:4::/48|6720 1853 3356 2914 7029|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe06::/48|6939 2914 2914 2914 2914 2497 12654|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe06::/48|6939 2914 2914 2914 2914 2497 12654|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe06::/48|13030 2914 2914 2914 2914 2497 12654|IGP
BGP4MP|01/01/17 12:00:08|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe06::/48|13030 2914 2914 2914 2914 2497 12654|IGP
BGP4MP|01/01/17 12:00:09|STATE|193.203.0.97|286|2|3
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe06::/48|6939 2497 12654|IGP
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe06::/48|6939 2497 12654|IGP
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe03::/48|13030 12654|IGP
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe03::/48|13030 12654|IGP
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe06::/48|13030 2914 2914 2914 2914 2497 12654|IGP
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:1:3030|13030|2001:7fb:fe06::/48|13030 2914 2914 2914 2914 2497 12654|IGP
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe03::/48|6939 13030 12654|IGP
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe03::/48|6939 13030 12654|IGP
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe03::/48|6939 12654|IGP
BGP4MP|01/01/17 12:00:09|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe03::/48|6939 12654|IGP
BGP4MP|01/01/17 12:00:10|W|193.203.0.91|13237|193.243.214.0/24
BGP4MP|01/01/17 12:00:10|A|193.203.0.91|13237|193.243.214.0/24|13237 1299 9121 9121 15924 8386|IGP
BGP4MP|01/01/17 12:00:10|A|193.203.0.91|13237|84.205.77.0/24|13237 9002 12654|IGP
BGP4MP|01/01/17 12:00:10|A|2001:7f8:30:0:2:1:0:6939|6939|2001:7fb:fe0d::/48|6939 20764 12654|IGP
